"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"14.01.2017 11:00 - 14.01.2017 12:00","n/e","1561","n/e","300"
"14.01.2017 12:00 - 14.01.2017 13:00","n/e","1800","n/e","47"
"14.01.2017 13:00 - 14.01.2017 14:00","n/e","1755","n/e","603"
"14.01.2017 14:00 - 14.01.2017 15:00","n/e","1705","n/e","650"
"14.01.2017 15:00 - 14.01.2017 16:00","n/e","1800","n/e","1391"
"14.01.2017 16:00 - 14.01.2017 17:00","n/e","1731","n/e","1217"
"14.01.2017 17:00 - 14.01.2017 18:00","n/e","1800","n/e","208"
"14.01.2017 18:00 - 14.01.2017 19:00","n/e","1800","n/e","590"
"14.01.2017 19:00 - 14.01.2017 20:00","n/e","1579","n/e","827"
"14.01.2017 20:00 - 14.01.2017 21:00","n/e","0","n/e","800"
"14.01.2017 21:00 - 14.01.2017 22:00","n/e","0","n/e","800"
"14.01.2017 22:00 - 14.01.2017 23:00","n/e","58","n/e","564"
"14.01.2017 23:00 - 15.01.2017 00:00","n/e","1288","n/e","85"
"15.01.2017 00:00 - 15.01.2017 01:00","n/e","1660","n/e","50"
"15.01.2017 01:00 - 15.01.2017 02:00","n/e","1575","n/e","120"
"15.01.2017 02:00 - 15.01.2017 03:00","n/e","1069","n/e","25"
"15.01.2017 03:00 - 15.01.2017 04:00","n/e","746","n/e","122"
"15.01.2017 04:00 - 15.01.2017 05:00","n/e","606","n/e","448"
"15.01.2017 05:00 - 15.01.2017 06:00","n/e","598","n/e","103"
"15.01.2017 06:00 - 15.01.2017 07:00","n/e","928","n/e","0"
"15.01.2017 07:00 - 15.01.2017 08:00","n/e","1525","n/e","175"
