"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"14.01.2016 09:00 - 14.01.2016 10:00","n/e","0","n/e","3200"
"14.01.2016 10:00 - 14.01.2016 11:00","n/e","0","n/e","3200"
"14.01.2016 11:00 - 14.01.2016 12:00","n/e","0","n/e","3200"
"14.01.2016 12:00 - 14.01.2016 13:00","n/e","0","n/e","3200"
"14.01.2016 13:00 - 14.01.2016 14:00","n/e","0","n/e","3200"
"14.01.2016 14:00 - 14.01.2016 15:00","n/e","0","n/e","3200"
"14.01.2016 15:00 - 14.01.2016 16:00","n/e","0","n/e","3200"
"14.01.2016 16:00 - 14.01.2016 17:00","n/e","0","n/e","3200"
"14.01.2016 17:00 - 14.01.2016 18:00","n/e","0","n/e","3200"
"14.01.2016 18:00 - 14.01.2016 19:00","n/e","0","n/e","3200"
"14.01.2016 19:00 - 14.01.2016 20:00","n/e","0","n/e","3200"
"14.01.2016 20:00 - 14.01.2016 21:00","n/e","0","n/e","3200"
"14.01.2016 21:00 - 14.01.2016 22:00","n/e","0","n/e","3200"
"14.01.2016 22:00 - 14.01.2016 23:00","n/e","0","n/e","3200"
"14.01.2016 23:00 - 15.01.2016 00:00","n/e","1","n/e","3201"
"15.01.2016 00:00 - 15.01.2016 01:00","n/e","5","n/e","3200"
"15.01.2016 01:00 - 15.01.2016 02:00","n/e","0","n/e","3200"
"15.01.2016 02:00 - 15.01.2016 03:00","n/e","20","n/e","3200"
"15.01.2016 03:00 - 15.01.2016 04:00","n/e","0","n/e","3200"
"15.01.2016 04:00 - 15.01.2016 05:00","n/e","0","n/e","3200"
"15.01.2016 05:00 - 15.01.2016 06:00","n/e","0","n/e","3200"
"15.01.2016 06:00 - 15.01.2016 07:00","n/e","0","n/e","3200"
